Время начала работы программы: 04.08.2020 15:30:14

Количество устройств на шине: 1
Связь с модулем МВ26.20 установлена
Старт обмена МКИО. Номер калана: А Адрес ОУ: 1
КШ Ф2 ПА: 1
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОС: 0800 СД: 0047 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 f692 
ОС: 0800 СД: 0048 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 e3c5 
ОС: 0800 СД: 004a 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5bbc 
ОС: 0800 СД: 004b 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a781 
ОС: 0800 СД: 004c 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d334 
ОС: 0800 СД: 004e 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 6b4d 
ОС: 0800 СД: 004f 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9770 
ОС: 0800 СД: 0051 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 bdde 
ОС: 0800 СД: 0052 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 f99a 
ОС: 0800 СД: 0054 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7112 
ОС: 0800 СД: 0055 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8d2f 
ОС: 0800 СД: 0056 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c96b 
ОС: 0800 СД: 0058 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 2001 
КШ Ф1 ПА: 1 СД: 0002 0002 0000 0000 0000 a74a 
КШ Ф2 ПА: 1
ОС: 0800 СД: 005a 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9878 
ОС: 0800 СД: 005c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 80a1 
ОС: 0800 СД: 005d 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7c9c 
ОС: 0800 СД: 005f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c4e5 
ОС: 0800 СД: 0060 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d5fd 
ОС: 0800 СД: 0061 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 29c0 
ОС: 0800 СД: 0063 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 91b9 
ОС: 0800 СД: 0064 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 e50c 
ОС: 0800 СД: 0066 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5d75 
ОС: 0800 СД: 0067 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a148 
ОС: 0800 СД: 0069 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4822 
ОС: 0800 СД: 006a 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0c66 
ОС: 0800 СД: 006b 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 f05b 
ОС: 0800 СД: 006d 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 78d3 
ОС: 0800 СД: 006e 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 3c97 
ОС: 0800 СД: 0070 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 1639 
ОС: 0800 СД: 0071 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 ea04 
ОС: 0800 СД: 0073 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 527d 
ОС: 0800 СД: 0074 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 26c8 
ОС: 0800 СД: 0075 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 daf5 
ОС: 0800 СД: 0077 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 628c 
ОС: 0800 СД: 0078 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 77db 
